"","ensembl_gene_id","hgnc_symbol","chromosome_name","Most_Likely_Path","Max_PP"
"46871","ENSG00000143819","EPHX1","1","Down-Up-Down","0.5"
"18008","ENSG00000003509","NDUFAF7","2","Up-Down-Up","0.5"
"7651","ENSG00000275111","ZNF2","2","Up-Down-Up","0.5"
"24648","ENSG00000223960","","2","Up-Down-Up","0.5"
"20582","ENSG00000187231","SESTD1","2","Up-Down-Up","0.5"
"45502","ENSG00000138395","CDK15","2","Down-Up-Up","0.5"
"37427","ENSG00000115468","EFHD1","2","Down-Up-Down","0.5"
"39064","ENSG00000114857","NKTR","3","Up-Down-Up","0.5"
"44276","ENSG00000247596","TWF2","3","Up-Up-Down","0.5"
"10576","ENSG00000114631","PODXL2","3","Up-Up-Down","0.5"
"38400","ENSG00000163898","LIPH","3","Down-Up-Down","0.5"
"244","ENSG00000272602","ZNF595","4","Up-Down-Up","0.5"
"44167","ENSG00000109736","MFSD10","4","Up-Up-Down","0.5"
"6630","ENSG00000174720","LARP7","4","Up-Down-Up","0.5"
"8203","ENSG00000145425","RPS3A","4","Down-Down-Up","0.5"
"15720","ENSG00000129128","SPCS3","4","Down-Up-Down","0.5"
"16410","ENSG00000186468","RPS23","5","Up-Down-Down","0.5"
"41328","ENSG00000131435","PDLIM4","5","Up-Down-Down","0.5"
"17293","ENSG00000069011","PITX1","5","Up-Up-Down","0.5"
"36071","ENSG00000253910","PCDHGB2","5","Down-Up-Down","0.5"
"49765","ENSG00000146083","RNF44","5","Up-Up-Down","0.5"
"53121","ENSG00000164379","FOXQ1","6","Up-Up-Down","0.5"
"53828","ENSG00000123552","USP45","6","Up-Down-Up","0.5"
"44505","ENSG00000164494","PDSS2","6","Down-Up-Down","0.5"
"23155","ENSG00000153989","NUS1","6","Down-Up-Down","0.5"
"515","ENSG00000002822","MAD1L1","7","Up-Up-Down","0.5"
"12357","ENSG00000106009","BRAT1","7","Up-Up-Down","0.5"
"16988","ENSG00000136295","TTYH3","7","Up-Up-Down","0.5"
"41422","ENSG00000230733","","7","Up-Up-Down","0.5"
"29539","ENSG00000105855","ITGB8","7","Up-Down-Up","0.5"
"32272","ENSG00000106665","CLIP2","7","Up-Up-Down","0.5"
"3062","ENSG00000106211","HSPB1","7","Up-Up-Down","0.5"
"21234","ENSG00000075303","SLC25A40","7","Up-Down-Up","0.5"
"20327","ENSG00000160993","ALKBH4","7","Up-Up-Down","0.5"
"21923","ENSG00000161036","LRWD1","7","Up-Up-Down","0.5"
"6719","ENSG00000164897","TMUB1","7","Up-Up-Down","0.5"
